epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,286668,0.70443,0.53209,0.8767,1,0.99905,0.99494,0.99477,0.60494,0.4294,0.8363,0.0044065,0.0044065,0.0044065
115,291885,0.70378,0.53183,0.8772,1,0.99905,0.99494,0.99477,0.60452,0.42902,0.83624,0.004357,0.004357,0.004357
116,297108,0.70269,0.5303,0.87696,1,0.99905,0.99495,0.99477,0.60434,0.42884,0.83625,0.0043075,0.0043075,0.0043075
117,302327,0.70204,0.52992,0.87674,1,0.99905,0.99495,0.99477,0.60417,0.42851,0.83616,0.004258,0.004258,0.004258
118,307550,0.70186,0.52933,0.87632,1,0.99905,0.99494,0.99477,0.60382,0.42798,0.83598,0.0042085,0.0042085,0.0042085
119,312774,0.70106,0.52783,0.87594,1,0.99905,0.99494,0.99476,0.60358,0.42751,0.83582,0.004159,0.004159,0.004159
120,318012,0.69955,0.52698,0.87554,1,0.99905,0.99495,0.99465,0.60338,0.42743,0.83583,0.0041095,0.0041095,0.0041095
121,323243,0.70011,0.52675,0.87615,1,0.99905,0.99495,0.99465,0.60321,0.42711,0.83585,0.00406,0.00406,0.00406
122,328473,0.69835,0.52476,0.87522,1,0.99905,0.99495,0.99465,0.60275,0.42662,0.83566,0.0040105,0.0040105,0.0040105
123,333710,0.6988,0.52479,0.87586,1,0.99905,0.99495,0.99465,0.6027,0.42652,0.83558,0.003961,0.003961,0.003961
124,341625,0.69802,0.52401,0.87534,1,0.99905,0.99495,0.99465,0.60222,0.42574,0.83537,0.0039115,0.0039115,0.0039115
125,348856,0.69755,0.52323,0.8745,1,0.99905,0.99496,0.99466,0.60206,0.42537,0.8352,0.003862,0.003862,0.003862
126,355007,0.69602,0.52244,0.87454,1,0.99905,0.99496,0.99466,0.60192,0.425,0.83516,0.0038125,0.0038125,0.0038125
127,363534,0.69581,0.52203,0.87431,1,0.99905,0.99495,0.99465,0.60169,0.4248,0.83509,0.003763,0.003763,0.003763
128,369793,0.69502,0.52101,0.87395,1,0.99905,0.99495,0.99465,0.6013,0.42445,0.8349,0.0037135,0.0037135,0.0037135
129,375008,0.69306,0.51933,0.87339,1,0.99905,0.99494,0.99465,0.60099,0.42423,0.83466,0.003664,0.003664,0.003664
130,380228,0.69441,0.52022,0.87438,1,0.99905,0.99495,0.99465,0.60105,0.42389,0.83476,0.0036145,0.0036145,0.0036145
131,385448,0.69233,0.51781,0.8736,1,0.99905,0.99495,0.99465,0.60103,0.42378,0.83467,0.003565,0.003565,0.003565
132,390664,0.69283,0.51811,0.87405,1,0.99905,0.99495,0.99465,0.60064,0.42338,0.83462,0.0035155,0.0035155,0.0035155
133,395891,0.69224,0.51699,0.87308,1,0.99905,0.99494,0.99465,0.60052,0.42313,0.83454,0.003466,0.003466,0.003466
134,401101,0.691,0.51558,0.87314,1,0.99905,0.99495,0.99471,0.60039,0.4228,0.83445,0.0034165,0.0034165,0.0034165
135,406317,0.69028,0.51543,0.87233,1,0.99905,0.99496,0.99466,0.60019,0.42247,0.83425,0.003367,0.003367,0.003367
136,411527,0.69065,0.5151,0.87237,1,0.99905,0.99496,0.99467,0.59987,0.42216,0.83411,0.0033175,0.0033175,0.0033175
137,416742,0.68964,0.51547,0.87259,1,0.99905,0.99496,0.99466,0.59954,0.42191,0.83411,0.003268,0.003268,0.003268
138,422042,0.68836,0.51269,0.87202,1,0.99905,0.99496,0.99466,0.59914,0.42162,0.83389,0.0032185,0.0032185,0.0032185
139,428269,0.68725,0.51185,0.87162,1,0.99905,0.99495,0.99465,0.59876,0.42121,0.83372,0.003169,0.003169,0.003169
140,433515,0.6873,0.5112,0.87178,1,0.99905,0.99495,0.99465,0.59859,0.42084,0.83363,0.0031195,0.0031195,0.0031195
141,438806,0.68611,0.51075,0.87121,1,0.99905,0.99496,0.99466,0.59819,0.42041,0.83355,0.00307,0.00307,0.00307
142,444129,0.68515,0.50921,0.87091,1,0.99905,0.99495,0.99465,0.598,0.41995,0.83332,0.0030205,0.0030205,0.0030205
143,449498,0.68449,0.50879,0.87096,1,0.99905,0.99495,0.99465,0.59755,0.41958,0.83331,0.002971,0.002971,0.002971
144,455779,0.6841,0.50857,0.8708,1,0.99905,0.99496,0.99466,0.59739,0.4193,0.83311,0.0029215,0.0029215,0.0029215
145,461003,0.68199,0.50611,0.87035,1,0.99905,0.99496,0.99466,0.59733,0.41896,0.83304,0.002872,0.002872,0.002872
146,466219,0.68261,0.50629,0.87077,1,0.99905,0.99496,0.99466,0.59708,0.41843,0.83321,0.0028225,0.0028225,0.0028225
147,471430,0.68215,0.50555,0.87019,1,0.99905,0.99495,0.99465,0.59685,0.41818,0.8331,0.002773,0.002773,0.002773
148,476642,0.68119,0.50399,0.86981,1,0.99905,0.99495,0.99465,0.59626,0.4177,0.83302,0.0027235,0.0027235,0.0027235
149,481861,0.68015,0.50355,0.86923,1,0.99905,0.99495,0.99465,0.59566,0.41734,0.83268,0.002674,0.002674,0.002674
150,487079,0.67811,0.50213,0.8686,1,0.99905,0.99495,0.99465,0.59552,0.41698,0.8323,0.0026245,0.0026245,0.0026245
151,492313,0.67803,0.50169,0.86882,1,0.99905,0.99495,0.99465,0.59527,0.41655,0.83208,0.002575,0.002575,0.002575
152,497534,0.67768,0.50031,0.86876,1,0.99905,0.99495,0.99465,0.59466,0.41608,0.83191,0.0025255,0.0025255,0.0025255
153,502751,0.67668,0.49983,0.86884,1,0.99905,0.99495,0.99465,0.59485,0.41581,0.83209,0.002476,0.002476,0.002476
154,508034,0.67509,0.49774,0.86785,1,0.99905,0.99496,0.99466,0.59465,0.41558,0.83202,0.0024265,0.0024265,0.0024265
155,516540,0.67465,0.49735,0.86796,1,0.99905,0.99496,0.99466,0.59447,0.41529,0.83198,0.002377,0.002377,0.002377
156,522949,0.67374,0.49661,0.86771,1,0.99905,0.99496,0.99466,0.59434,0.41515,0.83197,0.0023275,0.0023275,0.0023275
157,528179,0.67261,0.49567,0.86718,1,0.99905,0.99496,0.99466,0.59382,0.41456,0.8319,0.002278,0.002278,0.002278
158,533401,0.67136,0.49387,0.86682,1,0.99905,0.99496,0.99466,0.59348,0.41416,0.83171,0.0022285,0.0022285,0.0022285
159,538619,0.67084,0.49233,0.86712,1,0.99905,0.99497,0.99466,0.59343,0.41368,0.83173,0.002179,0.002179,0.002179
160,543839,0.66937,0.49191,0.86638,1,0.99905,0.99496,0.99466,0.59289,0.41327,0.83143,0.0021295,0.0021295,0.0021295
161,549059,0.66819,0.49122,0.86627,1,0.99905,0.99497,0.99466,0.59277,0.41321,0.83138,0.00208,0.00208,0.00208
162,554284,0.6687,0.4906,0.86637,1,0.99905,0.99497,0.99466,0.59264,0.41302,0.83128,0.0020305,0.0020305,0.0020305
163,559503,0.66677,0.48898,0.86523,1,0.99905,0.99497,0.99466,0.59252,0.41272,0.83104,0.001981,0.001981,0.001981
164,564719,0.66703,0.4877,0.86554,1,0.99905,0.99497,0.99466,0.59234,0.4124,0.83088,0.0019315,0.0019315,0.0019315
165,569938,0.66521,0.48728,0.86496,1,0.99905,0.99496,0.99466,0.59185,0.412,0.8307,0.001882,0.001882,0.001882
166,575147,0.66452,0.48571,0.86508,1,0.99905,0.99496,0.99466,0.59168,0.41157,0.83079,0.0018325,0.0018325,0.0018325
167,580372,0.6633,0.48446,0.8651,1,0.99905,0.99496,0.99466,0.59136,0.41122,0.8307,0.001783,0.001783,0.001783
168,585591,0.6623,0.48355,0.86446,1,0.99905,0.99496,0.99466,0.59115,0.411,0.83061,0.0017335,0.0017335,0.0017335
169,590810,0.66106,0.48127,0.86375,1,0.99905,0.99496,0.99466,0.59054,0.41035,0.83025,0.001684,0.001684,0.001684
170,596191,0.65958,0.4809,0.86366,1,0.99905,0.99496,0.99466,0.59001,0.40985,0.83005,0.0016345,0.0016345,0.0016345
171,602986,0.65863,0.47915,0.86348,1,0.99905,0.99495,0.99465,0.58988,0.40973,0.82999,0.001585,0.001585,0.001585
172,609465,0.6569,0.47803,0.86273,1,0.99905,0.99494,0.99465,0.58978,0.40944,0.82998,0.0015355,0.0015355,0.0015355
173,616533,0.65681,0.47757,0.86268,1,0.99905,0.99494,0.99465,0.58986,0.40926,0.82997,0.001486,0.001486,0.001486
174,625084,0.65426,0.47467,0.86226,1,0.99905,0.99494,0.99465,0.58977,0.40873,0.82993,0.0014365,0.0014365,0.0014365
175,631008,0.65377,0.4727,0.86157,1,0.99905,0.99494,0.99465,0.58936,0.40827,0.82977,0.001387,0.001387,0.001387
176,636225,0.65218,0.47234,0.86156,1,0.99905,0.99494,0.99465,0.58901,0.40784,0.82965,0.0013375,0.0013375,0.0013375
177,641439,0.65136,0.47083,0.86074,1,0.99905,0.99494,0.99465,0.58891,0.40749,0.82943,0.001288,0.001288,0.001288
178,646658,0.64955,0.46889,0.8602,1,0.99905,0.99495,0.99465,0.58861,0.40667,0.82922,0.0012385,0.0012385,0.0012385
179,651877,0.6489,0.46776,0.86026,1,0.99905,0.99496,0.99466,0.58839,0.40622,0.82915,0.001189,0.001189,0.001189
180,657088,0.64779,0.46593,0.86038,1,0.99905,0.99496,0.99466,0.588,0.40581,0.82903,0.0011395,0.0011395,0.0011395
181,662312,0.64577,0.46452,0.85941,1,0.99905,0.99494,0.99465,0.58759,0.40535,0.82888,0.00109,0.00109,0.00109
182,667547,0.64405,0.46281,0.85948,1,0.99905,0.99494,0.99465,0.58726,0.40506,0.82886,0.0010405,0.0010405,0.0010405
183,672766,0.64217,0.46075,0.85884,1,0.99905,0.99494,0.99465,0.58708,0.40461,0.82881,0.000991,0.000991,0.000991
184,677997,0.64063,0.45917,0.85805,1,0.99905,0.99495,0.99471,0.58681,0.40409,0.82863,0.0009415,0.0009415,0.0009415
185,683416,0.63886,0.45734,0.85732,1,0.99905,0.99495,0.99465,0.58677,0.40408,0.82845,0.000892,0.000892,0.000892
186,691087,0.63758,0.45648,0.85741,1,0.99905,0.99494,0.99465,0.58672,0.40393,0.82855,0.0008425,0.0008425,0.0008425
187,698155,0.63609,0.45342,0.85666,1,0.99905,0.99495,0.99465,0.5865,0.40357,0.82839,0.000793,0.000793,0.000793
188,706701,0.63358,0.45122,0.85626,1,0.99905,0.99495,0.99465,0.58633,0.40315,0.82836,0.0007435,0.0007435,0.0007435
189,714209,0.63265,0.44965,0.85576,1,0.99905,0.99495,0.99466,0.58627,0.40294,0.82822,0.000694,0.000694,0.000694
190,719430,0.63077,0.44753,0.85575,1,0.99905,0.99496,0.99466,0.58602,0.40248,0.82819,0.0006445,0.0006445,0.0006445
191,724469,0.61207,0.41524,0.84232,1,0.99905,0.99497,0.99466,0.58574,0.40185,0.82806,0.000595,0.000595,0.000595
192,729500,0.60654,0.40992,0.84088,1,0.99905,0.99497,0.99467,0.5849,0.40101,0.82783,0.0005455,0.0005455,0.0005455
193,734530,0.60282,0.40635,0.83955,1,0.99905,0.99497,0.99467,0.58404,0.40023,0.82762,0.000496,0.000496,0.000496
194,739565,0.59956,0.40297,0.83896,1,0.99905,0.99497,0.99467,0.58315,0.39945,0.82726,0.0004465,0.0004465,0.0004465
195,744604,0.59737,0.40085,0.83861,1,0.99905,0.99497,0.99466,0.58264,0.39898,0.82711,0.000397,0.000397,0.000397
196,749662,0.59365,0.39728,0.83716,1,0.99905,0.99497,0.99466,0.58241,0.39858,0.82685,0.0003475,0.0003475,0.0003475
197,754689,0.59102,0.39444,0.83654,1,0.99905,0.99497,0.99466,0.58202,0.39823,0.82675,0.000298,0.000298,0.000298
198,759715,0.58844,0.39106,0.83622,1,0.99905,0.99496,0.99466,0.58168,0.39779,0.82662,0.0002485,0.0002485,0.0002485
